Data;Casos Acumulados;obitos acumulados
27/3;0;0
28/3;0;0
29/3;2;0
30/3;2;0
31/3;2;0
1/4;3;1
2/4;3;1
3/4;3;1
4/4;3;1
5/4;3;1
6/4;3;1
7/4;3;1
8/4;3;1
9/4;3;1
10/4;5;1
11/4;5;1
12/4;6;2
13/4;6;2
14/4;7;2
15/4;8;2
16/4;11;3
17/4;13;3
18/4;15;4
19/4;13;4
20/4;16;5
21/4;16;5
22/4;24;5
23/4;24;5
24/4;26;6
25/4;26;6
26/4;28;6
27/4;31;6
28/4;38;7
29/4;38;7
30/4;39;7
1/5;44;7
2/5;46;7
3/5;46;7
4/5;46;7
5/5;46;7
6/5;49;7
7/5;49;7
8/5;66;7
9/5;67;8
10/5;68;8
11/5;71;8
12/5;71;8
13/5;71;8
14/5;71;8
15/5;71;8
16/5;90;8
17/5;90;8
18/5;144;8
19/5;144;8
20/5;147;11
21/5;147;11
22/5;147;11
23/5;148;12
24/5;230;12
25/5;237;12
26/5;246;13
27/5;247;14
28/5;250;17
29/5;279;16
30/5;376;16
31/5;377;16
1/6;380;16
2/6;313;16
3/6;315;16
4/6;324;20
5/6;331;25
6/6;337;24
7/6;403;24
8/6;424;24
9/6;525;24
10/6;524;26
11/6;531;26
12/6;564;26
13/6;566;26
14/6;591;26
15/6;597;26
