Data;Casos Acumulados;obitos acumulados
27/3;0;0
28/3;0;0
29/3;0;0
30/3;0;0
31/3;0;0
1/4;0;0
2/4;0;0
3/4;0;0
4/4;0;0
5/4;0;0
6/4;0;0
7/4;1;0
8/4;3;0
9/4;4;0
10/4;4;0
11/4;4;0
12/4;7;0
13/4;7;0
14/4;7;0
15/4;8;0
16/4;8;0
17/4;8;0
18/4;9;0
19/4;10;0
20/4;12;0
21/4;12;0
22/4;12;0
23/4;23;2
24/4;23;2
25/4;26;3
26/4;27;3
27/4;28;3
28/4;31;3
29/4;38;3
30/4;43;3
1/5;49;3
2/5;52;3
3/5;53;4
4/5;53;4
5/5;55;4
6/5;57;4
7/5;64;5
8/5;100;5
9/5;108;5
10/5;103;5
11/5;118;5
12/5;125;5
13/5;125;5
14/5;133;5
15/5;134;6
16/5;134;6
17/5;134;6
18/5;221;6
19/5;221;6
20/5;222;7
21/5;224;9
22/5;226;11
23/5;227;12
24/5;227;12
25/5;246;12
26/5;248;12
27/5;279;14
28/5;300;17
29/5;311;17
30/5;368;18
31/5;377;18
1/6;379;18
2/6;382;18
3/6;395;19
4/6;416;22
5/6;424;22
6/6;451;23
7/6;480;23
8/6;478;23
9/6;547;23
10/6;538;23
11/6;517;26
12/6;553;26
13/6;560;26
14/6;562;26
15/6;563;26
16/6;590;28
17/6;590;28
