Data;Casos Acumulados;obitos acumulados
27/3;0;0
28/3;1;0
29/3;1;0
30/3;1;0
31/3;1;0
1/4;1;0
2/4;1;0
3/4;1;0
4/4;1;0
5/4;2;0
6/4;2;0
7/4;3;0
8/4;4;0
9/4;4;0
10/4;4;0
11/4;4;0
12/4;4;0
13/4;5;0
14/4;5;0
15/4;5;0
16/4;6;0
17/4;6;0
18/4;7;1
19/4;7;1
20/4;7;1
21/4;7;1
22/4;7;1
23/4;8;1
24/4;8;1
25/4;8;1
26/4;8;1
27/4;9;2
28/4;53;2
29/4;59;2
30/4;60;2
1/5;65;2
2/5;70;3
3/5;70;3
4/5;70;3
5/5;75;3
6/5;75;3
7/5;78;3
8/5;140;3
9/5;144;4
10/5;158;4
11/5;160;4
12/5;162;4
13/5;162;4
14/5;165;5
15/5;167;7
16/5;187;10
17/5;187;10
18/5;368;10
19/5;372;14
20/5;372;14
21/5;372;14
22/5;374;16
23/5;374;16
24/5;580;16
25/5;588;16
26/5;616;18
27/5;616;18
28/5;636;19
29/5;662;26
30/5;737;31
31/5;741;31
1/6;747;31
2/6;779;32
3/6;811;39
4/6;840;40
5/6;875;46
6/6;901;46
7/6;954;46
8/6;963;46
9/6;1038;49
10/6;1114;53
11/6;1137;59
12/6;1217;59
13/6;1208;59
14/6;1213;59
15/6;1215;59
16/6;1250;62
17/6;1300;64
